iter	Passed	Remaining
684	1770	814
685	1773	811
686	1776	809
687	1778	806
688	1780	803
689	1783	801
690	1785	798
691	1787	795
692	1789	792
693	1791	790
694	1793	787
695	1795	784
696	1797	781
697	1800	778
698	1802	776
699	1804	773
700	1806	770
701	1808	767
702	1810	764
703	1813	762
704	1815	759
705	1817	756
706	1819	754
707	1821	751
708	1823	748
709	1826	745
710	1828	743
711	1831	740
712	1834	738
713	1836	735
714	1838	732
715	1840	730
716	1842	727
717	1844	724
718	1847	721
719	1850	719
720	1852	716
721	1855	714
722	1857	711
723	1861	709
724	1864	707
725	1866	704
726	1869	701
727	1872	699
728	1874	696
729	1877	694
730	1879	691
731	1882	689
732	1884	686
733	1887	683
734	1889	681
735	1892	678
736	1895	676
737	1897	673
738	1900	671
739	1903	668
740	1905	666
741	1908	663
742	1911	661
743	1913	658
744	1916	655
745	1918	653
746	1921	650
747	1923	648
748	1926	645
749	1928	642
750	1931	640
751	1934	637
752	1936	635
753	1939	632
754	1942	630
755	1945	627
756	1947	625
757	1949	622
758	1952	619
759	1954	617
760	1957	614
761	1959	612
762	1962	609
763	1964	606
764	1967	604
765	1970	601
766	1972	599
767	1975	596
768	1978	594
769	1981	591
770	1983	589
771	1985	586
772	1987	583
773	1990	581
774	1993	578
775	1995	576
776	1998	573
777	2001	571
778	2003	568
779	2006	566
780	2009	563
781	2011	560
782	2014	558
783	2017	555
784	2019	553
785	2022	550
786	2025	548
787	2028	545
788	2031	543
789	2033	540
790	2035	537
791	2038	535
792	2040	532
793	2044	530
794	2046	527
795	2048	525
796	2051	522
797	2054	519
798	2056	517
799	2059	514
800	2061	512
801	2064	509
802	2067	507
803	2069	504
804	2072	502
805	2075	499
806	2078	496
807	2080	494
808	2083	491
809	2086	489
810	2088	486
811	2091	484
812	2094	481
813	2097	479
814	2100	476
815	2103	474
816	2105	471
817	2108	469
818	2111	466
819	2114	464
820	2116	461
821	2119	458
822	2122	456
823	2125	453
824	2127	451
825	2130	448
826	2133	446
827	2135	443
828	2138	441
829	2140	438
830	2143	435
831	2146	433
832	2149	430
833	2152	428
834	2154	425
835	2157	423
836	2159	420
837	2162	417
838	2164	415
839	2167	412
840	2169	410
841	2171	407
842	2174	405
843	2177	402
844	2179	399
845	2182	397
846	2184	394
847	2187	392
848	2189	389
849	2192	386
850	2194	384
851	2197	381
852	2199	379
853	2202	376
854	2204	373
855	2207	371
856	2209	368
857	2212	366
858	2214	363
859	2217	360
860	2219	358
861	2222	355
862	2224	353
863	2226	350
864	2229	347
865	2232	345
866	2234	342
867	2237	340
868	2239	337
869	2242	335
870	2244	332
871	2247	329
872	2250	327
